kule7
t	x	y
0.000000000E0	1.139871937E-2	3.865448769E-1
3.336666667E-2	1.288091248E-2	3.852206398E-1
6.673333333E-2	1.967167780E-2	3.814957943E-1
1.001000000E-1	2.836458994E-2	3.746466006E-1
1.334666667E-1	4.111476750E-2	3.667001905E-1
1.668333333E-1	5.693228035E-2	3.539185147E-1
2.002000000E-1	7.692757100E-2	3.429179943E-1
2.335666667E-1	1.003910547E-1	3.303786458E-1
2.669333333E-1	1.287857097E-1	3.185920415E-1
3.003000000E-1	1.609942910E-1	3.078158737E-1
3.336666667E-1	1.959659253E-1	3.009628276E-1
3.670333333E-1	2.320328901E-1	2.980497831E-1
4.004000000E-1	2.682030878E-1	3.017145004E-1
4.337666667E-1	3.027269403E-1	3.071777367E-1
4.671333333E-1	3.363842905E-1	3.128373026E-1
5.005000000E-1	3.679112595E-1	3.167475362E-1
5.338666667E-1	3.995841436E-1	3.196052541E-1
5.672333333E-1	4.309914054E-1	3.122098630E-1
6.006000000E-1	4.634619967E-1	3.031577118E-1
6.339666667E-1	4.981280000E-1	2.925394863E-1
6.673333333E-1	5.354366739E-1	2.827529033E-1
7.007000000E-1	5.745557149E-1	2.745975743E-1
7.340666667E-1	6.155900215E-1	2.737416817E-1
7.674333333E-1	6.566772494E-1	2.766558218E-1
8.008000000E-1	6.957404966E-1	2.817464710E-1
8.341666667E-1	7.344765220E-1	2.851344020E-1
8.675333333E-1	7.730282397E-1	2.845381046E-1
9.009000000E-1	8.129328161E-1	2.793468150E-1
9.342666667E-1	8.517363214E-1	2.673290738E-1
9.676333333E-1	8.930114342E-1	2.538617309E-1
1.001000000E0	9.371746773E-1	2.414327933E-1
1.034366667E0	9.839891451E-1	2.363373365E-1
1.067733333E0	1.030323276E0	2.432716097E-1
1.101100000E0	1.073976161E0	2.548770035E-1
1.134466667E0	1.114989660E0	2.676771855E-1
1.167833333E0	1.153914409E0	2.797070788E-1
1.201200000E0	1.192448748E0	2.872621740E-1
1.234566667E0	1.231199397E0	2.868128569E-1
1.267933333E0	1.270034416E0	2.816350603E-1
1.301300000E0	1.309911306E0	2.727707295E-1
1.334666667E0	1.350752967E0	2.609610178E-1
1.368033333E0	1.393230757E0	2.471702837E-1
1.401400000E0	1.437876722E0	2.315751110E-1
