kule1
t	x	y
0.000000000E0	9.372219662E-3	3.714599256E-1
3.336666667E-2	1.371735495E-2	3.711632935E-1
6.673333333E-2	2.118306599E-2	3.673956784E-1
1.001000000E-1	3.243246663E-2	3.551417512E-1
1.334666667E-1	4.735202999E-2	3.477052912E-1
1.668333333E-1	6.523596236E-2	3.370917774E-1
2.002000000E-1	8.716634538E-2	3.252670447E-1
2.335666667E-1	1.133517172E-1	3.117899610E-1
2.669333333E-1	1.428552304E-1	2.997003815E-1
3.003000000E-1	1.765747995E-1	2.901839398E-1
3.336666667E-1	2.121701474E-1	2.875517669E-1
3.670333333E-1	2.496938329E-1	2.867658460E-1
4.004000000E-1	2.850197502E-1	2.916944981E-1
4.337666667E-1	3.188183167E-1	2.975798267E-1
4.671333333E-1	3.515304206E-1	3.019598447E-1
5.005000000E-1	3.840030268E-1	3.049995572E-1
5.338666667E-1	4.162002039E-1	3.032265974E-1
5.672333333E-1	4.490078538E-1	2.948777045E-1
6.006000000E-1	4.826846071E-1	2.850552103E-1
6.339666667E-1	5.188187644E-1	2.737546242E-1
6.673333333E-1	5.574725944E-1	2.642913358E-1
7.007000000E-1	5.977481989E-1	2.619533799E-1
7.340666667E-1	6.393222264E-1	2.630082918E-1
7.674333333E-1	6.788298314E-1	2.662939551E-1
8.008000000E-1	7.180789829E-1	2.711863510E-1
8.341666667E-1	7.565628499E-1	2.721368416E-1
8.675333333E-1	7.953744197E-1	2.698116330E-1
9.009000000E-1	8.343506730E-1	2.587136905E-1
9.342666667E-1	8.741421408E-1	2.463098582E-1
9.676333333E-1	9.173697200E-1	2.324869094E-1
1.001000000E0	9.634273686E-1	2.242237439E-1
1.034366667E0	1.010166082E0	2.245851639E-1
1.067733333E0	1.055640162E0	2.371161992E-1
1.101100000E0	1.097681648E0	2.497584265E-1
1.134466667E0	1.136766152E0	2.637814077E-1
1.167833333E0	1.174675239E0	2.724192583E-1
1.201200000E0	1.211582245E0	2.752449531E-1
1.234566667E0	1.249587334E0	2.730997319E-1
1.267933333E0	1.287904119E0	2.665783396E-1
1.301300000E0	1.327123904E0	2.562836268E-1
1.334666667E0	1.368173919E0	2.427338917E-1
1.368033333E0	1.411769440E0	2.301458045E-1
1.401400000E0	1.455930795E0	2.137575115E-1
