kule4
t	x	y
0.000000000E0	-5.195851676E-3	3.968211993E-1
3.336666667E-2	-4.066878044E-3	3.961613927E-1
6.673333333E-2	3.469319840E-3	3.942352441E-1
1.001000000E-1	1.170333165E-2	3.863738440E-1
1.334666667E-1	2.555140192E-2	3.783043923E-1
1.668333333E-1	4.207327165E-2	3.684569315E-1
2.002000000E-1	6.098924158E-2	3.565958966E-1
2.335666667E-1	8.574477446E-2	3.449221819E-1
2.669333333E-1	1.133672897E-1	3.317708002E-1
3.003000000E-1	1.453802460E-1	3.212810724E-1
3.336666667E-1	1.801180404E-1	3.120291309E-1
3.670333333E-1	2.166798032E-1	3.115719854E-1
4.004000000E-1	2.526338237E-1	3.131659169E-1
4.337666667E-1	2.874273873E-1	3.192445738E-1
4.671333333E-1	3.210340935E-1	3.230300898E-1
5.005000000E-1	3.533634422E-1	3.274949099E-1
5.338666667E-1	3.853477282E-1	3.304062938E-1
5.672333333E-1	4.175648019E-1	3.215488217E-1
6.006000000E-1	4.508608487E-1	3.132460289E-1
6.339666667E-1	4.857837685E-1	3.029716268E-1
6.673333333E-1	5.229960085E-1	2.930134087E-1
7.007000000E-1	5.629340195E-1	2.864612786E-1
7.340666667E-1	6.039816062E-1	2.857295475E-1
7.674333333E-1	6.452235835E-1	2.876976029E-1
8.008000000E-1	6.845096844E-1	2.917136142E-1
8.341666667E-1	7.229755116E-1	2.948936846E-1
8.675333333E-1	7.617952114E-1	2.938197190E-1
9.009000000E-1	8.002509153E-1	2.881929426E-1
9.342666667E-1	8.398415714E-1	2.783091631E-1
9.676333333E-1	8.815727544E-1	2.647966570E-1
1.001000000E0	9.265102885E-1	2.535849219E-1
1.034366667E0	9.736701493E-1	2.491620430E-1
1.067733333E0	1.019663184E0	2.554548238E-1
1.101100000E0	1.063187063E0	2.681648939E-1
1.134466667E0	1.104484978E0	2.809942689E-1
1.167833333E0	1.142093190E0	2.945410111E-1
1.201200000E0	1.180631449E0	3.003435647E-1
1.234566667E0	1.219533719E0	3.009127377E-1
1.267933333E0	1.258280983E0	2.957054500E-1
1.301300000E0	1.297374540E0	2.860135422E-1
1.334666667E0	1.337457436E0	2.732266909E-1
1.368033333E0	1.380874496E0	2.599346662E-1
