kule6
t	x	y
0.000000000E0	1.067134755E-2	3.846388920E-1
3.336666667E-2	1.329912501E-2	3.835979942E-1
6.673333333E-2	1.967726308E-2	3.805772009E-1
1.001000000E-1	2.898387850E-2	3.680928210E-1
1.334666667E-1	4.388547402E-2	3.638569533E-1
1.668333333E-1	6.142352920E-2	3.535841691E-1
2.002000000E-1	8.197148501E-2	3.400717078E-1
2.335666667E-1	1.073229279E-1	3.285472800E-1
2.669333333E-1	1.360861427E-1	3.151192245E-1
3.003000000E-1	1.693076177E-1	3.059461932E-1
3.336666667E-1	2.054785806E-1	3.014427306E-1
3.670333333E-1	2.408487137E-1	2.991142749E-1
4.004000000E-1	2.764689306E-1	3.034631255E-1
4.337666667E-1	3.106620331E-1	3.089985074E-1
4.671333333E-1	3.430564284E-1	3.142718511E-1
5.005000000E-1	3.748937029E-1	3.169014255E-1
5.338666667E-1	4.069725624E-1	3.189746944E-1
5.672333333E-1	4.393012673E-1	3.098359204E-1
6.006000000E-1	4.725844540E-1	3.009114463E-1
6.339666667E-1	5.076951492E-1	2.895181874E-1
6.673333333E-1	5.451516114E-1	2.796399281E-1
7.007000000E-1	5.852437228E-1	2.726360439E-1
7.340666667E-1	6.262084826E-1	2.738027285E-1
7.674333333E-1	6.664827252E-1	2.777074396E-1
8.008000000E-1	7.055142137E-1	2.819125924E-1
8.341666667E-1	7.442380540E-1	2.842474721E-1
8.675333333E-1	7.827934166E-1	2.817603440E-1
9.009000000E-1	8.215297772E-1	2.748867944E-1
9.342666667E-1	8.603646299E-1	2.625401264E-1
9.676333333E-1	9.026383687E-1	2.501796340E-1
1.001000000E0	9.469577350E-1	2.382365055E-1
1.034366667E0	9.945613565E-1	2.378462165E-1
1.067733333E0	1.040734443E0	2.433073790E-1
1.101100000E0	1.083232232E0	2.571658261E-1
1.134466667E0	1.122075344E0	2.710449105E-1
1.167833333E0	1.159797168E0	2.812837834E-1
1.201200000E0	1.197315045E0	2.875803118E-1
1.234566667E0	1.235259620E0	2.867062189E-1
1.267933333E0	1.273263151E0	2.815321619E-1
1.301300000E0	1.311918279E0	2.731358064E-1
1.334666667E0	1.351192764E0	2.604665591E-1
1.368033333E0	1.393522449E0	2.467628299E-1
1.401400000E0	1.438289445E0	2.317689896E-1
